PomBase:SPAC212.08c	UniProtKB:Q9HGP7
PomBase:SPAC5H10.12c	UniProtKB:Q09680
PomBase:SPAC5H10.13c	UniProtKB:Q09681
PomBase:SPAC13G6.02c	UniProtKB:Q09781
PomBase:SPAC13G6.04	UniProtKB:Q09783
PomBase:SPAC13G6.07c	UniProtKB:P05752
PomBase:SPAC13G6.10c	UniProtKB:Q09788
PomBase:SPAC13G6.11c	UniProtKB:Q09780
PomBase:SPAC13G6.13	UniProtKB:Q09789
PomBase:SPAC24B11.06c	UniProtKB:Q09892
PomBase:SPAC24B11.07c	UniProtKB:Q09894
PomBase:SPAC24B11.08c	UniProtKB:Q09895
PomBase:SPAC24B11.10c	UniProtKB:Q09897
PomBase:SPAC24B11.12c	UniProtKB:Q9USC3
PomBase:SPAC24B11.12c	UniProtKB:Q09891
PomBase:SPAC24B11.14	UniProtKB:Q9UR21
PomBase:SPAC806.02c	UniProtKB:Q9UT57
PomBase:SPAC806.11	UniProtKB:A6X969
PomBase:SPAC806.05	UniProtKB:Q9UT54
PomBase:SPAC1F5.11c	UniProtKB:Q10064
PomBase:SPAC1F5.10	UniProtKB:Q10055
PomBase:SPAC1F5.07c	UniProtKB:Q10062
PomBase:SPAC1F5.05c	UniProtKB:Q10060
PomBase:SPAC1F5.04c	UniProtKB:Q10059
PomBase:SPAC1F5.03c	UniProtKB:Q10058
PomBase:SPAC18B11.11	UniProtKB:Q09716
PomBase:SPAC18B11.08c	UniProtKB:Q09714
PomBase:SPAC18B11.07c	UniProtKB:P23566
PomBase:SPAC18B11.05	UniProtKB:Q09712
PomBase:SPAC18B11.04	UniProtKB:Q09711
PomBase:SPAC18B11.03c	UniProtKB:Q09710
PomBase:SPAC18B11.02c	UniProtKB:Q09709
PomBase:SPAC12G12.15	UniProtKB:Q09877
PomBase:SPAC12G12.14c	UniProtKB:Q9UTN4
PomBase:SPAC12G12.13c	UniProtKB:Q9UTN3
PomBase:SPAC12G12.11c	UniProtKB:Q09874
PomBase:SPAC12G12.10	UniProtKB:Q09873
PomBase:SPAC12G12.09	UniProtKB:Q09872
PomBase:SPAC12G12.17	UniProtKB:C6Y4B6
PomBase:SPAC12G12.07c	UniProtKB:Q09871
PomBase:SPAC12G12.05c	UniProtKB:Q09869
PomBase:SPAC12G12.04	UniProtKB:Q09864
PomBase:SPAC12G12.03	UniProtKB:Q9USF7
PomBase:SPAC12G12.03	UniProtKB:Q09868
PomBase:SPAC12G12.02	UniProtKB:Q09867
PomBase:SPAC630.06c	UniProtKB:Q9UUH6
PomBase:SPAC630.05	UniProtKB:Q9UUH7
PomBase:SPAC630.09c	UniProtKB:Q9UUH3
PomBase:SPAC630.10	UniProtKB:Q9UUH2
PomBase:SPAC630.11	UniProtKB:Q9UUH1
PomBase:SPAC630.13c	UniProtKB:Q9UUG9
PomBase:SPAC630.14c	UniProtKB:Q9UUG8
PomBase:SPAC1751.01c	UniProtKB:O14367
PomBase:SPAC1751.02c	UniProtKB:Q9US30
PomBase:SPAC31A2.02	UniProtKB:Q09723
PomBase:SPAC31A2.04c	UniProtKB:Q09720
PomBase:SPAC31A2.06	UniProtKB:Q09726
PomBase:SPAC31A2.07c	UniProtKB:Q9USB9
PomBase:SPAC31A2.07c	UniProtKB:Q09719
PomBase:SPAC31A2.09c	UniProtKB:Q09718
PomBase:SPAC31A2.10	UniProtKB:Q09721
PomBase:SPAC31A2.16	UniProtKB:Q09733
PomBase:SPAC13C5.07	UniProtKB:Q09683
PomBase:SPAC24H6.13	UniProtKB:Q9USD2
PomBase:SPAC24H6.13	UniProtKB:Q09766
PomBase:SPAC24H6.09	UniProtKB:Q09763
PomBase:SPAC24H6.08	UniProtKB:Q09762
PomBase:SPAC24H6.05	UniProtKB:P06652
PomBase:SPAC24H6.03	UniProtKB:Q09760
PomBase:SPAC24H6.01c	UniProtKB:Q09758
PomBase:SPAPB21F2.02	UniProtKB:Q9C0Z4
PomBase:SPAPB21F2.03	UniProtKB:Q9C0Z3
PomBase:SPAC227.01c	UniProtKB:Q9UTD8
PomBase:SPAC227.19c	UniProtKB:C6Y4B7
PomBase:SPAC227.05	UniProtKB:Q9UTD4
PomBase:SPAC227.06	UniProtKB:Q9UTD3
PomBase:SPAC227.07c	UniProtKB:Q12702
PomBase:SPAC227.08c	UniProtKB:Q9UTD1
PomBase:SPAC227.10	UniProtKB:Q9UTC9
PomBase:SPAC227.14	UniProtKB:Q9UTC5
PomBase:SPAC227.17c	UniProtKB:Q9UTC2
PomBase:SPAC2F7.03c	UniProtKB:Q09690
PomBase:SPAC2F7.04	UniProtKB:Q09696
PomBase:SPAC2F7.05c	UniProtKB:Q09689
PomBase:SPAC2F7.06c	UniProtKB:Q09693
PomBase:SPAC2F7.08c	UniProtKB:Q09699
PomBase:SPAC2F7.09c	UniProtKB:Q09700
PomBase:SPAC2F7.11	UniProtKB:Q09702
PomBase:SPAC2F7.13c	UniProtKB:Q09692
PomBase:SPAC2F7.14c	UniProtKB:Q09704
PomBase:SPAC2F7.16c	UniProtKB:E0WDE3
PomBase:SPAC2F7.16c	UniProtKB:Q09706
PomBase:SPAC2F7.17	UniProtKB:Q09691
PomBase:SPAC13A11.01c	UniProtKB:Q09697
PomBase:SPAC13A11.02c	UniProtKB:Q09736
PomBase:SPAC13A11.03	UniProtKB:Q09739
PomBase:SPAC13A11.04c	UniProtKB:Q09738
PomBase:SPAC13A11.05	UniProtKB:Q09735
PomBase:SPAC13A11.06	UniProtKB:Q09737
PomBase:SPAC3H8.02	UniProtKB:Q10138
PomBase:SPAC3H8.03	UniProtKB:Q10139
PomBase:SPAC3H8.07c	UniProtKB:Q10143
PomBase:SPAC1F3.01	UniProtKB:Q10146
PomBase:SPAC1F3.03	UniProtKB:Q10408
PomBase:SPAC1F3.05	UniProtKB:Q10410
PomBase:SPAC1F3.06c	UniProtKB:Q10411
PomBase:SPAC1F3.09	UniProtKB:Q10414
PomBase:SPAC1F3.10c	UniProtKB:Q10415
PomBase:SPAC1D4.02c	UniProtKB:Q10149
PomBase:SPAC1D4.05c	UniProtKB:Q10151
PomBase:SPAC1D4.06c	UniProtKB:P36615
PomBase:SPAC1D4.07c	UniProtKB:Q10152
PomBase:SPAC1D4.09c	UniProtKB:C1M2W1
PomBase:SPAC1D4.09c	UniProtKB:Q10154
PomBase:SPAC1D4.10	UniProtKB:Q10155
PomBase:SPAC1D4.11c	UniProtKB:Q10156
PomBase:SPAC1D4.13	UniProtKB:P10506
PomBase:SPAC22F3.12c	UniProtKB:Q09777
PomBase:SPAC22F3.10c	UniProtKB:Q09768
PomBase:SPAC22F3.09c	UniProtKB:P41412
PomBase:SPAC22F3.08c	UniProtKB:Q09775
PomBase:SPAC22F3.15	UniProtKB:C6Y4B8
PomBase:SPAC22F3.05c	UniProtKB:Q09767
PomBase:SPAC22F3.02	UniProtKB:Q09771
PomBase:SPAC1296.03c	UniProtKB:P32825
PomBase:SPAC1296.05c	UniProtKB:O94612
PomBase:SPAC22G7.01c	UniProtKB:Q09795
PomBase:SPAC22G7.02	UniProtKB:Q09796
PomBase:SPAC22G7.03	UniProtKB:Q09797
PomBase:SPAC22G7.04	UniProtKB:Q09798
PomBase:SPAC22G7.08	UniProtKB:Q09792
PomBase:SPAC22G7.10	UniProtKB:Q09801
PomBase:SPAC4G8.02c	UniProtKB:Q09827
PomBase:SPAC4G8.04	UniProtKB:Q09830
PomBase:SPAC4G8.05	UniProtKB:Q09831
PomBase:SPAC4G8.06c	UniProtKB:Q09832
PomBase:SPAC4G8.07c	UniProtKB:Q09833
PomBase:SPAC4G8.08	UniProtKB:Q09834
PomBase:SPAC16C9.01c	UniProtKB:Q09839
PomBase:SPAC16C9.02c	UniProtKB:Q09816
PomBase:SPAC16C9.05	UniProtKB:Q09819
PomBase:SPAC16C9.07	UniProtKB:Q09815
PomBase:SPAC2G11.03c	UniProtKB:Q09805
PomBase:SPAC2G11.04	UniProtKB:Q09806
PomBase:SPAC2G11.06	UniProtKB:Q09803
PomBase:SPAC2G11.07c	UniProtKB:Q09173
PomBase:SPAC2G11.08c	UniProtKB:Q09808
PomBase:SPAC2G11.09	UniProtKB:Q09809
PomBase:SPAC2G11.10c	UniProtKB:Q09810
PomBase:SPAC2G11.14	UniProtKB:Q09813
PomBase:SPAC521.02	UniProtKB:Q9P7B5
PomBase:SPAC521.03	UniProtKB:Q9P7B4
PomBase:SPAC521.04c	UniProtKB:Q9P7B3
PomBase:SPAC23G3.02c	UniProtKB:Q9P7T1
PomBase:SPAC23G3.03	UniProtKB:Q9P7T0
PomBase:SPAC23G3.04	UniProtKB:Q9P7S9
PomBase:SPAC23G3.05c	UniProtKB:Q9P7S8
PomBase:SPAC23G3.06	UniProtKB:Q9P7S7
PomBase:SPAC23G3.07c	UniProtKB:Q9P7S6
PomBase:SPAC23G3.09	UniProtKB:Q9P7S4
PomBase:SPAC23G3.10c	UniProtKB:Q9P7S3
PomBase:SPAC23G3.11	UniProtKB:Q9P7S2
PomBase:SPAC23G3.12c	UniProtKB:Q9P7S1
PomBase:SPAC22H12.02	UniProtKB:O94436
PomBase:SPAC22H12.03	UniProtKB:O94437
PomBase:SPAC22H12.04c	UniProtKB:O94438
PomBase:SPAC1687.02	UniProtKB:O94448
PomBase:SPAC1687.03c	UniProtKB:O94449
PomBase:SPAC1687.04	UniProtKB:O94450
PomBase:SPAC1687.05	UniProtKB:O94451
PomBase:SPAC1687.06c	UniProtKB:O14069
PomBase:SPAC1687.07	UniProtKB:O14068
PomBase:SPAC1687.09	UniProtKB:O14066
PomBase:SPAC1687.10	UniProtKB:O94452
PomBase:SPAC1687.11	UniProtKB:O42832
PomBase:SPAC1687.12c	UniProtKB:O94453
PomBase:SPAC1687.23c	UniProtKB:Q9C118
PomBase:SPAC1687.15	UniProtKB:Q10452
PomBase:SPAC1687.16c	UniProtKB:O94457
PomBase:SPAC1687.17c	UniProtKB:O94458
PomBase:SPAC1687.18c	UniProtKB:O94459
PomBase:SPAC1687.21	UniProtKB:O94461
PomBase:SPAC222.03c	UniProtKB:Q9UTE9
PomBase:SPAC222.04c	UniProtKB:Q9UTE8
PomBase:SPAC222.05c	UniProtKB:Q9UTE7
PomBase:SPAC222.06	UniProtKB:Q9UTE6
PomBase:SPAC222.08c	UniProtKB:Q9UTE4
PomBase:SPAC222.10c	UniProtKB:Q10951
PomBase:SPAC222.11	UniProtKB:Q9UTE2
PomBase:SPAC222.12c	UniProtKB:P22068
PomBase:SPAC821.05	UniProtKB:Q9UT48
PomBase:SPAC821.07c	UniProtKB:Q9UT46
PomBase:SPAC821.11	UniProtKB:Q9UT44
PomBase:SPAC821.13c	UniProtKB:Q9UT43
PomBase:SPAC139.01c	UniProtKB:Q9UTN2
PomBase:SPAC139.03	UniProtKB:Q9UTN0
PomBase:SPAC139.04c	UniProtKB:Q9UTM9
PomBase:SPAC139.05	UniProtKB:Q9UTM8
PomBase:SPAC139.06	UniProtKB:Q9UTM7
PomBase:SPAC23C4.03	UniProtKB:O13924
PomBase:SPAC23C4.04c	UniProtKB:A6X970
PomBase:SPAC23C4.06c	UniProtKB:O13926
PomBase:SPAC23C4.12	UniProtKB:P40236
PomBase:SPAC23C4.13	UniProtKB:O13932
PomBase:SPAC23C4.14	UniProtKB:O13933
PomBase:SPAC23C4.16c	UniProtKB:O13934
PomBase:SPAC23C4.17	UniProtKB:O13935
PomBase:SPAC23C4.18c	UniProtKB:P32372
PomBase:SPAC23C4.19	UniProtKB:Q9US64
PomBase:SPAC23C4.19	UniProtKB:O13936
PomBase:SPAC1A6.11	UniProtKB:Q9C114
PomBase:SPAC1A6.06c	UniProtKB:Q9Y826
PomBase:SPAC1A6.07	UniProtKB:O13858
PomBase:SPAC1A6.08c	UniProtKB:O13859
PomBase:SPAC1A6.09c	UniProtKB:P78970
PomBase:SPAC30D11.13	UniProtKB:P40984
PomBase:SPAC30D11.12	UniProtKB:Q09900
PomBase:SPAC30D11.10	UniProtKB:P36592
PomBase:SPAC30D11.04c	UniProtKB:Q09904
PomBase:SPAC30D11.02c	UniProtKB:Q09902
PomBase:SPAC30D11.01c	UniProtKB:Q9USD5
PomBase:SPAC30D11.01c	UniProtKB:Q09901
PomBase:SPAC56F8.04c	UniProtKB:Q10252
PomBase:SPAC56F8.08	UniProtKB:Q10256
PomBase:SPAC56F8.08	UniProtKB:Q10255
PomBase:SPAC56F8.10	UniProtKB:Q10258
PomBase:SPAC56F8.12	UniProtKB:Q10260
PomBase:SPAC56F8.14c	UniProtKB:Q10262
PomBase:SPAC56F8.13	UniProtKB:Q10261
PomBase:SPAC56F8.15	UniProtKB:Q10263
PomBase:SPAC22A12.05	UniProtKB:O13896
PomBase:SPAC22A12.08c	UniProtKB:O13899
PomBase:SPAC22A12.09c	UniProtKB:O13900
PomBase:SPAC22A12.12c	UniProtKB:O13903
PomBase:SPAC22A12.13	UniProtKB:O13904
PomBase:SPAC22A12.14c	UniProtKB:O13905
PomBase:SPAC22A12.17c	UniProtKB:O13908
PomBase:SPAC22A12.16	UniProtKB:O13907
PomBase:SPAC4C5.01	UniProtKB:O14165
PomBase:SPAC4C5.03	UniProtKB:O14166
PomBase:SPAC10F6.09c	UniProtKB:O42649
PomBase:SPAC10F6.14c	UniProtKB:O42653
PomBase:SPAC10F6.16	UniProtKB:P79058
PomBase:SPAC10F6.17c	UniProtKB:O14189
PomBase:SPAC56E4.02c	UniProtKB:O14190
PomBase:SPAC56E4.03	UniProtKB:O14192
PomBase:SPAC56E4.04c	UniProtKB:P78820
PomBase:SPAC56E4.06c	UniProtKB:O14194
PomBase:SPAC1420.03	UniProtKB:O14381
PomBase:SPAC1420.03	UniProtKB:Q9UTM3
PomBase:SPAPB17E12.09	UniProtKB:Q8TFH5
PomBase:SPAPB17E12.12c	UniProtKB:Q8TFH2
PomBase:SPAPB17E12.14c	UniProtKB:Q8TFH0
PomBase:SPAPB17E12.13	UniProtKB:Q8TFH1
PomBase:SPAC1565.03	UniProtKB:Q9P3B0
PomBase:SPAC1565.04c	UniProtKB:P36622
PomBase:SPAC1565.05	UniProtKB:Q9P3A9
PomBase:SPAC1565.07c	UniProtKB:Q9P3A8
PomBase:SPAC1565.08	UniProtKB:Q9P3A7
PomBase:SPAC6F12.02	UniProtKB:P78871
PomBase:SPAC6F12.03c	UniProtKB:O14222
PomBase:SPAC6F12.04	UniProtKB:O14223
PomBase:SPAC6F12.06	UniProtKB:O14224
PomBase:SPAC6F12.09	UniProtKB:O14227
PomBase:SPAC6F12.10c	UniProtKB:Q9USF2
PomBase:SPAC6F12.10c	UniProtKB:O14228
PomBase:SPAC6F12.12	UniProtKB:P78759
PomBase:SPAC6F12.13c	UniProtKB:O14230
PomBase:SPAC6F12.14	UniProtKB:O94556
PomBase:SPAC6F12.15c	UniProtKB:P41889
PomBase:SPAC6F12.16c	UniProtKB:Q9USD3
PomBase:SPAC6F12.16c	UniProtKB:O14232
PomBase:SPAC19E9.02	UniProtKB:O13839
PomBase:SPAC57A10.02	UniProtKB:P87050
PomBase:SPAC57A10.04	UniProtKB:P87052
PomBase:SPAC57A10.14	UniProtKB:Q5FC18
PomBase:SPAC57A10.05c	UniProtKB:P87053
PomBase:SPAC57A10.06	UniProtKB:P87054
PomBase:SPAC57A10.07	UniProtKB:P87055
PomBase:SPAC57A10.08c	UniProtKB:P87056
PomBase:SPAC20G8.01	UniProtKB:P12000
PomBase:SPAC20G8.02	UniProtKB:P87109
PomBase:SPAC20G8.04c	UniProtKB:P87111
PomBase:SPAC20G8.06	UniProtKB:P87112
PomBase:SPAC3A12.02	UniProtKB:P87118
PomBase:SPAC3A12.03c	UniProtKB:P87119
PomBase:SPAC3A12.04c	UniProtKB:P87120
PomBase:SPAC3A12.05c	UniProtKB:P87121
PomBase:SPAC3A12.07	UniProtKB:P87123
PomBase:SPAC3A12.08	UniProtKB:P87124
PomBase:SPAC3A12.09c	UniProtKB:P87125
PomBase:SPAC3A12.10	UniProtKB:P05732
PomBase:SPAC3A12.11c	UniProtKB:P87126
PomBase:SPAC3A12.12	UniProtKB:P87127
PomBase:SPAC3A12.14	UniProtKB:P05933
PomBase:SPAC3A12.16c	UniProtKB:P87130
PomBase:SPAC9.03c	UniProtKB:Q9UT24
PomBase:SPAC9.05	UniProtKB:Q9UT23
PomBase:SPAC9.06c	UniProtKB:Q9UT22
PomBase:SPAC9.08c	UniProtKB:Q9UT20
PomBase:SPAC9.09	UniProtKB:Q9UT19
PomBase:SPAC9.13c	UniProtKB:Q9P7C5
PomBase:SPAC5D6.13	UniProtKB:O14205
PomBase:SPAC5D6.12	UniProtKB:O14204
PomBase:SPAC5D6.10c	UniProtKB:O14202
PomBase:SPAC5D6.08c	UniProtKB:P41005
PomBase:SPAC5D6.07c	UniProtKB:O14200
PomBase:SPAC5D6.06c	UniProtKB:O14199
PomBase:SPAC57A7.13	UniProtKB:P87143
PomBase:SPAC57A7.12	UniProtKB:P87142
PomBase:SPAC57A7.11	UniProtKB:P87141
PomBase:SPAC57A7.09	UniProtKB:P87139
PomBase:SPAC57A7.05	UniProtKB:P87136
PomBase:SPAC57A7.04c	UniProtKB:P31209
PomBase:SPAC167.06c	UniProtKB:P87133
PomBase:SPAC167.02	UniProtKB:P46960
PomBase:SPAC167.09	UniProtKB:C6Y4B3
PomBase:SPAC167.01	UniProtKB:O94537
PomBase:SPAC167.08	UniProtKB:Q9UTF1
PomBase:SPAC167.08	UniProtKB:Q05654
PomBase:SPAC23H4.16c	UniProtKB:O13957
PomBase:SPAC23H4.14	UniProtKB:O13955
PomBase:SPAC23H4.21	UniProtKB:C6Y4B4
PomBase:SPAC23H4.11c	UniProtKB:O13952
PomBase:SPAC23H4.09	UniProtKB:Q09184
PomBase:SPAC23H4.04	UniProtKB:O13947
PomBase:SPAC23H4.03c	UniProtKB:O13946
PomBase:SPAC23H4.02	UniProtKB:O13945
PomBase:SPAC23H4.01c	UniProtKB:O13944
PomBase:SPAP27G11.03	UniProtKB:Q9P7N5
PomBase:SPAP27G11.04c	UniProtKB:Q9P7N4
PomBase:SPAP27G11.05c	UniProtKB:Q9P7N3
PomBase:SPAP27G11.07c	UniProtKB:Q9P7N1
PomBase:SPAP27G11.12	UniProtKB:Q9P7M6
PomBase:SPAP27G11.13c	UniProtKB:Q9P7M5
PomBase:SPAC343.01c	UniProtKB:Q9UT88
PomBase:SPAC343.05	UniProtKB:P31406
PomBase:SPAC343.06c	UniProtKB:Q9UT84
PomBase:SPAC343.08c	UniProtKB:Q9UT82
PomBase:SPAC343.07	UniProtKB:Q9UT83
PomBase:SPAC343.09	UniProtKB:Q9UT81
PomBase:SPAC343.14c	UniProtKB:Q9UT76
PomBase:SPAC343.17c	UniProtKB:Q9UT73
PomBase:SPAC343.15	UniProtKB:Q9UT75
PomBase:SPAC343.16	UniProtKB:Q9UT74
PomBase:SPAC343.19	UniProtKB:Q9UT42
PomBase:SPAC824.02	UniProtKB:Q9UT41
PomBase:SPAC824.03c	UniProtKB:Q9UT40
PomBase:SPAC824.04	UniProtKB:Q9UT39
PomBase:SPAC824.05	UniProtKB:Q9UT38
PomBase:SPAC824.06	UniProtKB:Q9UT37
PomBase:SPAC824.09c	UniProtKB:Q9UT34
PomBase:SPAC664.01c	UniProtKB:P40381
PomBase:SPAC664.02c	UniProtKB:Q9US07
PomBase:SPAC664.03	UniProtKB:Q9US06
PomBase:SPAC664.04c	UniProtKB:Q9URK4
PomBase:SPAC664.04c	UniProtKB:O60144
PomBase:SPAC664.06	UniProtKB:P17937
PomBase:SPAC664.07c	UniProtKB:A6YRR9
PomBase:SPAC664.07c	UniProtKB:P26306
PomBase:SPAC664.09	UniProtKB:Q9US04
PomBase:SPAC664.10	UniProtKB:Q9US03
PomBase:SPAC664.13	UniProtKB:Q9US01
PomBase:SPACUNK12.02c	UniProtKB:Q9P7I2
PomBase:SPAC105.01c	UniProtKB:Q9P7I1
PomBase:SPAC105.03c	UniProtKB:Q9P7H9
PomBase:SPAC17A5.01	UniProtKB:O13764
PomBase:SPAC17A5.18c	UniProtKB:Q9C115
PomBase:SPAC17A5.03	UniProtKB:P40372
PomBase:SPAC17A5.04c	UniProtKB:O13766
PomBase:SPAC17A5.05c	UniProtKB:O13767
PomBase:SPAC17A5.06	UniProtKB:O13768
PomBase:SPAC17A5.07c	UniProtKB:O13769
PomBase:SPAC17A5.09c	UniProtKB:O13771
PomBase:SPAC17A5.13	UniProtKB:O13774
PomBase:SPAC17A5.16	UniProtKB:O13776
PomBase:SPAC1610.01	UniProtKB:O13777
PomBase:SPAC1610.02c	UniProtKB:Q9P6M9
PomBase:SPAC1610.03c	UniProtKB:Q9P6M8
PomBase:SPAC1002.01	UniProtKB:Q9US57
PomBase:SPAC1002.02	UniProtKB:Q9US56
PomBase:SPAC1002.08c	UniProtKB:Q9US51
PomBase:SPAC1002.10c	UniProtKB:Q9US49
PomBase:SPAC1002.12c	UniProtKB:Q9US47
PomBase:SPAC1002.13c	UniProtKB:Q9UR09
PomBase:SPAC1002.15c	UniProtKB:Q9US45
PomBase:SPAC1002.16c	UniProtKB:Q9US44
PomBase:SPAC1002.17c	UniProtKB:Q9US43
PomBase:SPAC1002.19	UniProtKB:Q9US41
PomBase:SPAC1399.05c	UniProtKB:Q9HE16
PomBase:SPAC1399.02	UniProtKB:Q9HE13
PomBase:SPAP11E10.01	UniProtKB:Q9HDZ0
PomBase:SPAPB1A10.02	UniProtKB:Q9HDY7
PomBase:SPAPB1A10.03	UniProtKB:P0CAN8
PomBase:SPAPB1A10.04c	UniProtKB:O60052
PomBase:SPAPB1A10.05	UniProtKB:Q9HDY5
PomBase:SPAPB1A10.07c	UniProtKB:Q9HDY3
PomBase:SPAPB1A10.09	UniProtKB:Q9HDY1
PomBase:SPAPB1A10.10c	UniProtKB:Q9HDY0
PomBase:SPAPB1A10.11c	UniProtKB:Q9HDX9
PomBase:SPAPB1A10.13	UniProtKB:Q9HDX7
PomBase:SPAPB1A10.14	UniProtKB:Q9HDX6
PomBase:SPAC140.01	UniProtKB:P21911
PomBase:SPAC140.02	UniProtKB:P41891
PomBase:SPAC140.04	UniProtKB:Q9P7B7
PomBase:SPAC110.02	UniProtKB:Q9HFF5
PomBase:SPAC110.04c	UniProtKB:O59838
PomBase:SPAP14E8.05c	UniProtKB:Q9P7G3
PomBase:SPAC3H1.02c	UniProtKB:Q10068
PomBase:SPAC3H1.03	UniProtKB:Q10069
PomBase:SPAC3H1.05	UniProtKB:Q10071
PomBase:SPAC3H1.10	UniProtKB:Q10075
PomBase:SPAC3H1.11	UniProtKB:Q10076
PomBase:SPAC3H1.12c	UniProtKB:Q10077
PomBase:SPAC9G1.02	UniProtKB:O14299
PomBase:SPAC9G1.03c	UniProtKB:P52808
PomBase:SPAC9G1.05	UniProtKB:O14301
PomBase:SPAC9G1.07	UniProtKB:O14303
PomBase:SPAC9G1.08c	UniProtKB:O14304
PomBase:SPAC9G1.10c	UniProtKB:O14306
PomBase:SPAC9G1.12	UniProtKB:O14307
PomBase:SPAC9G1.13c	UniProtKB:O14308
PomBase:SPAC767.01c	UniProtKB:Q9URZ5
PomBase:SPAC17H9.01	UniProtKB:O13798
PomBase:SPAC17H9.02	UniProtKB:O13799
PomBase:SPAC17H9.05	UniProtKB:O13802
PomBase:SPAC17H9.07	UniProtKB:O13804
PomBase:SPAC17H9.08	UniProtKB:O13805
PomBase:SPAC17H9.09c	UniProtKB:P08647
PomBase:SPAC17H9.10c	UniProtKB:O13807
PomBase:SPAC17H9.14c	UniProtKB:O13811
PomBase:SPAC17H9.17c	UniProtKB:O13814
PomBase:SPAC17H9.20	UniProtKB:O13816
PomBase:SPAC607.02c	UniProtKB:Q9US15
PomBase:SPAC607.04	UniProtKB:Q9US14
PomBase:SPAC607.05	UniProtKB:Q9US13
PomBase:SPAC607.07c	UniProtKB:Q9US11
PomBase:SPAC607.09c	UniProtKB:Q9US09
PomBase:SPAC3C7.03c	UniProtKB:O14129
PomBase:SPAC3C7.04	UniProtKB:O14130
PomBase:SPAC3C7.05c	UniProtKB:O14131
PomBase:SPAC3C7.06c	UniProtKB:O14132
PomBase:SPAC3C7.09	UniProtKB:O14135
PomBase:SPAC3C7.10	UniProtKB:O14136
PomBase:SPAC3C7.11c	UniProtKB:P36581
PomBase:SPAC3C7.13c	UniProtKB:O14137
PomBase:SPAC3C7.14c	UniProtKB:P30821
PomBase:SPAC25A8.03c	UniProtKB:O14138
PomBase:SPAC25A8.01c	UniProtKB:O42861
PomBase:SPAC25A8.02	UniProtKB:O42862
PomBase:SPAC631.01c	UniProtKB:Q9HGP5
PomBase:SPAC631.02	UniProtKB:Q9HGP4
PomBase:SPAC20H4.02	UniProtKB:Q9HE10
PomBase:SPAC20H4.03c	UniProtKB:P49373
PomBase:SPAC20H4.05c	UniProtKB:Q9HE08
PomBase:SPAC20H4.06c	UniProtKB:Q9HE07
PomBase:SPAC20H4.08	UniProtKB:Q7LKV1
PomBase:SPAC20H4.09	UniProtKB:Q9HE06
PomBase:SPAC23C11.03	UniProtKB:O13910
PomBase:SPAC23C11.06c	UniProtKB:O13912
PomBase:SPAC23C11.07	UniProtKB:O13913
PomBase:SPAC23C11.10	UniProtKB:O13915
PomBase:SPAC23C11.11	UniProtKB:P40231
PomBase:SPAC23C11.12	UniProtKB:O13916
PomBase:SPAC23C11.14	UniProtKB:O13918
PomBase:SPAC23C11.15	UniProtKB:O13919
PomBase:SPAC23C11.16	UniProtKB:P50528
PomBase:SPAC13F5.01c	UniProtKB:O13921
PomBase:SPAC13F5.04c	UniProtKB:O13703
PomBase:SPAC13F5.05	UniProtKB:O13704
PomBase:SPAC1783.04c	UniProtKB:Q9UR39
PomBase:SPAC1783.05	UniProtKB:Q9US25
PomBase:SPAC1783.06c	UniProtKB:Q9US24
PomBase:SPAC1783.07c	UniProtKB:Q01663
PomBase:SPAC18G6.01c	UniProtKB:Q10102
PomBase:SPAC18G6.03	UniProtKB:P17610
PomBase:SPAC18G6.04c	UniProtKB:Q10104
PomBase:SPAC18G6.05c	UniProtKB:Q10105
PomBase:SPAC18G6.12c	UniProtKB:Q10111
PomBase:SPAC13D6.01	UniProtKB:Q10223
PomBase:SPAC13D6.05	UniProtKB:Q10235
PomBase:SPAC4G9.02	UniProtKB:Q10236
PomBase:SPAC4G9.04c	UniProtKB:Q10237
PomBase:SPAC4G9.03	UniProtKB:P33075
PomBase:SPAC4G9.05	UniProtKB:Q10238
PomBase:SPAC4G9.06c	UniProtKB:Q10239
PomBase:SPAC4G9.07	UniProtKB:Q10240
PomBase:SPAC4G9.08c	UniProtKB:Q10233
PomBase:SPAC4G9.10	UniProtKB:P31317
PomBase:SPAC4G9.14	UniProtKB:Q10244
PomBase:SPAC4G9.16c	UniProtKB:Q10232
PomBase:SPAC4G9.17c	UniProtKB:Q10234
PomBase:SPAC4G9.20c	UniProtKB:Q10248
PomBase:SPAC4G9.22	UniProtKB:C6Y4A2
PomBase:SPAC13G7.06	UniProtKB:Q10270
PomBase:SPAC13G7.13c	UniProtKB:Q10277
PomBase:SPAC6C3.04	UniProtKB:Q10306
PomBase:SPAC6C3.06c	UniProtKB:Q10309
PomBase:SPAC6C3.07	UniProtKB:Q10310
PomBase:SPAC6C3.08	UniProtKB:Q10311
PomBase:SPAC17G8.01c	UniProtKB:Q10313
PomBase:SPAC17G8.04c	UniProtKB:Q10316
PomBase:SPAC17G8.05	UniProtKB:Q10317
PomBase:SPAC17G8.06c	UniProtKB:Q10318
PomBase:SPAC17G8.08c	UniProtKB:Q10320
PomBase:SPAC17G8.09	UniProtKB:Q10321
PomBase:SPAC17G8.13c	UniProtKB:Q10325
PomBase:SPAC17G8.14c	UniProtKB:Q9UTU9
PomBase:SPAC17G8.14c	UniProtKB:P36582
