SPCC5E4.05c	UniProtKB:O94305
SPCC126.11c	UniProtKB:O94403
SPAC3C7.08c	UniProtKB:O14134
SPBC21B10.07	UniProtKB:Q9USW3
SPBC28F2.05c	UniProtKB:Q9USV2
SPAP8A3.02c	UniProtKB:Q9UT12
SPBC947.02	UniProtKB:O43079
SPBC16G5.19	UniProtKB:Q96VG0
SPAC24B11.09	UniProtKB:Q09896
SPAC7D4.08	UniProtKB:O14263
SPBC1289.17	UniProtKB:Q9UR07
SPBC3F6.03	UniProtKB:Q92375
SPAC16A10.03c	UniProtKB:P87295
SPBC691.02c	UniProtKB:Q9C0W8
SPCP20C8.02c	UniProtKB:Q9HDT7
SPCC1739.03	UniProtKB:O74465
SPAC31G5.01	UniProtKB:O14102
SPAC664.10	UniProtKB:Q9US03
SPAC22E12.02	UniProtKB:Q10355
SPAC1071.10c	UniProtKB:P09627
SPAC17A5.05c	UniProtKB:O13767
SPCC4B3.08	UniProtKB:Q9USJ8
SPAC18G6.14c	UniProtKB:Q10101
SPBC1683.11c	UniProtKB:Q9P6J1
SPCC188.03	UniProtKB:Q10429
SPAC6G9.11	UniProtKB:Q92356
SPAC1093.01	UniProtKB:Q10451
SPCC417.05c	UniProtKB:O94486
SPCC1450.08c	UniProtKB:Q9Y7N5
SPBC9B6.03	UniProtKB:Q9Y7M3
SPAP27G11.15	UniProtKB:Q9P7M3
SPAC664.08c	UniProtKB:Q9US05
SPAC31A2.16	UniProtKB:Q09733
SPBC1773.17c	UniProtKB:O94574
SPCC970.01	UniProtKB:P36617
SPCC794.02	UniProtKB:Q8TF80
SPBC1A4.10c	UniProtKB:Q9P7Y4
SPAC4G8.10	UniProtKB:Q09835
SPCC550.14	UniProtKB:O59810
SPAC2F7.17	UniProtKB:Q09691
SPBC409.06	UniProtKB:Q9UUB6
SPAC890.02c	UniProtKB:Q9URY2
SPCC550.07	UniProtKB:O59805
SPCC622.21	UniProtKB:Q8NIP8
SPAC13G6.05c	UniProtKB:Q09784
SPAC6B12.18	UniProtKB:A6X972
SPBC16D10.02	UniProtKB:O94636
SPAPB24D3.08c	UniProtKB:Q9C0Y6
SPAC3H1.06c	UniProtKB:Q10072
SPBC1706.03	UniProtKB:Q9USY7
SPAC1D4.13	UniProtKB:P10506
SPAC27D7.06	UniProtKB:P78790
SPAC630.12	UniProtKB:Q9UUH0
SPAC19A8.12	UniProtKB:O13828
SPAC5D6.04	UniProtKB:O14197
SPBC15C4.02	UniProtKB:O60111
SPAC1952.11c	UniProtKB:O00084
SPCC285.12	UniProtKB:O74499
SPCC736.12c	UniProtKB:O74958
SPCC1235.04c	UniProtKB:O74841
SPBC776.06c	UniProtKB:O94674
SPCC737.06c	UniProtKB:O94246
SPBC16A3.03c	UniProtKB:O42910
SPBC646.03	UniProtKB:O94509
SPBC1A4.07c	UniProtKB:O74340
SPCC285.04	UniProtKB:O74492
SPCC162.12	UniProtKB:O74428
SPAC23C11.15	UniProtKB:O13919
SPAC589.03c	UniProtKB:Q9HE01
SPCC4G3.09c	UniProtKB:P87234
SPAC212.11	UniProtKB:Q5EAK4
SPBC19F8.07	UniProtKB:Q12126
SPCP1E11.05c	UniProtKB:Q9UU82
SPAC823.11	UniProtKB:Q9P6N5
SPAC4F8.01	UniProtKB:O14177
SPCC1753.05	UniProtKB:O94506
SPAC18B11.03c	UniProtKB:Q09710
SPCC1183.09c	UniProtKB:O74837
SPAC1F3.08c	UniProtKB:Q10413
SPBC1289.06c	UniProtKB:O94615
SPCC1840.02c	UniProtKB:O74475
SPCC645.04	UniProtKB:Q9Y7U4
SPAC20H4.03c	UniProtKB:P49373
SPAC6F12.09	UniProtKB:O14227
SPBC18H10.07	UniProtKB:O60138
SPAC1250.03	UniProtKB:Q9UTN8
SPCC569.06	UniProtKB:Q9Y7S5
SPBC4F6.11c	UniProtKB:O74397
SPBC2G5.04c	UniProtKB:O94283
SPCC1322.03	UniProtKB:O94543
SPCC777.03c	UniProtKB:O74542
SPCC16A11.14	UniProtKB:Q9USM3
SPAC16E8.09	UniProtKB:P40995
SPBC3B9.08c	UniProtKB:O43037
SPBC660.15	UniProtKB:O94432
SPAC17A2.09c	UniProtKB:O13759
SPBC3B9.01	UniProtKB:O43030
SPAC24C9.14	UniProtKB:O13974
SPAC1A6.09c	UniProtKB:P78970
SPBC947.15c	UniProtKB:O43090
SPCC191.09c	UniProtKB:Q9Y7Q2
SPBC887.07	UniProtKB:O94292
SPAC16A10.07c	UniProtKB:P79005
SPAC1142.02c	UniProtKB:O13797
SPAC1805.11c	UniProtKB:Q9UTG4
SPAC19A8.02	UniProtKB:O13818
SPBC3E7.13c	UniProtKB:O59733
SPAC3H5.11	UniProtKB:Q6LA56
SPBPB10D8.06c	UniProtKB:Q9C0Q1
SPAC17A2.05	UniProtKB:O13755
SPAC29E6.09	UniProtKB:Q09862
SPBC839.13c	UniProtKB:O42991
SPAC9E9.03	UniProtKB:O14289
SPAC2G11.07c	UniProtKB:Q09173
SPAC6F12.03c	UniProtKB:O14222
SPBC119.12	UniProtKB:O42903
SPCC16C4.13c	UniProtKB:O75000
SPAP14E8.04	UniProtKB:Q9P7G4
SPBC1709.01	UniProtKB:O74756
SPAC30C2.02	UniProtKB:Q9P6K9
SPAC2F3.01	UniProtKB:O14084
SPBPB8B6.02c	UniProtKB:Q8TFG0
SPAC10F6.10	UniProtKB:O42650
SPAC1687.04	UniProtKB:O94450
SPBC1105.12	UniProtKB:P09322
SPBC1604.16c	UniProtKB:O94728
SPAC6F12.14	UniProtKB:O94556
SPBC31F10.12	UniProtKB:P87313
SPAC13D6.05	UniProtKB:Q10235
SPBC1685.03	UniProtKB:O74323
SPBC244.01c	UniProtKB:O60187
SPBC8D2.11	UniProtKB:O13647
SPBC839.03c	UniProtKB:Q8WZK4
SPAC20H4.04	UniProtKB:Q9HE09
SPBC19F8.06c	UniProtKB:O60170
SPBC1861.06c	UniProtKB:Q9USY0
SPBC3H7.10	UniProtKB:O74385
SPCC1223.01	UniProtKB:Q76PD2
SPAC15E1.05c	UniProtKB:Q9UTI6
SPBC146.08c	UniProtKB:Q9Y803
SPAC227.12	UniProtKB:Q9UTC7
SPCC548.04	UniProtKB:Q9P3U9
SPAC56F8.04c	UniProtKB:Q10252
SPAC1002.13c	UniProtKB:Q9UR09
SPCC16C4.10	UniProtKB:O74455
SPAC6F12.10c	UniProtKB:O14228
SPCC4B3.09c	UniProtKB:Q9USJ9
SPBC1703.02	UniProtKB:Q9P7W8
SPAC589.06c	UniProtKB:Q9HDZ8
SPAC6G9.06c	UniProtKB:Q92351
SPAC9.09	UniProtKB:Q9UT19
SPBC336.08	UniProtKB:Q9UST6
SPBP22H7.05c	UniProtKB:Q9C0W2
SPBC19C7.09c	UniProtKB:Q10988
SPAPB1A11.04c	UniProtKB:Q9HDX1
SPBC31F10.07	UniProtKB:P87308
SPAC22A12.03c	UniProtKB:O13895
SPBC106.12c	UniProtKB:Q9URV0
SPAC17G6.17	UniProtKB:O13795
SPBC27B12.10c	UniProtKB:O42999
SPAC630.13c	UniProtKB:Q9UUG9
SPCC1795.11	UniProtKB:O13370
SPAC29A4.17c	UniProtKB:O14020
SPBP8B7.28c	UniProtKB:O94276
SPCC736.11	UniProtKB:O74957
SPBC1271.13	UniProtKB:O94345
SPBP16F5.02	UniProtKB:P36613
SPBC1D7.01	UniProtKB:O14334
SPAC3G9.02	UniProtKB:O42866
SPAC1783.06c	UniProtKB:Q9US24
SPBC29A3.05	UniProtKB:O59669
SPBC1105.06	UniProtKB:Q9Y821
SPCC1393.14	UniProtKB:P0C5Y7
SPMIT.09	UniProtKB:P21536
SPBC27.05	UniProtKB:Q9P6S2
SPAC24C9.12c	UniProtKB:O13972
SPAC12B10.05	UniProtKB:Q10439
SPCP1E11.08	UniProtKB:Q9UU79
SPCC584.14	UniProtKB:Q09888
SPACUNK4.19	UniProtKB:Q9C0U3
SPAC644.16	UniProtKB:Q9P6P7
SPAC23E2.01	UniProtKB:Q10134
SPBC1921.07c	UniProtKB:Q9USW9
SPAC1F5.02	UniProtKB:Q10057
SPAC24H6.13	UniProtKB:Q09766
SPBC3D6.11c	UniProtKB:P87176
SPBC336.01	UniProtKB:Q9USU3
SPBC14C8.15	UniProtKB:O60095
SPBC1711.16	UniProtKB:Q9P775
SPAPB1A10.12c	UniProtKB:Q9HDX8
SPAC23G3.04	UniProtKB:Q9P7S9
SPAC12G12.03	UniProtKB:Q09868
SPBC16D10.09	UniProtKB:Q03392
SPAC17D4.01	UniProtKB:P78798
SPBC16A3.12c	UniProtKB:P78898
SPAC4C5.01	UniProtKB:O14165
SPAC4A8.08c	UniProtKB:O14160
SPAC9.11	UniProtKB:Q9UT17
SPBC3D6.09	UniProtKB:P87174
SPAP27G11.10c	UniProtKB:Q9P7M8
SPBC17D11.02c	UniProtKB:O74757
SPAC7D4.12c	UniProtKB:O14267
SPBC557.03c	UniProtKB:P28745
SPAC19G12.09	UniProtKB:O13848
SPBC2G5.01	UniProtKB:O94280
SPAC23H4.08	UniProtKB:O13951
SPAC1F3.03	UniProtKB:Q10408
SPCC1620.03	UniProtKB:O94410
SPBC36.02c	UniProtKB:O59699
SPAC1B9.02c	UniProtKB:P50530
SPAC1B3.09c	UniProtKB:O13874
SPAC16A10.05c	UniProtKB:P87297
SPAC513.03	UniProtKB:P34069
SPCC777.09c	UniProtKB:O74548
SPAC15A10.01	UniProtKB:O14286
SPAP14E8.05c	UniProtKB:Q9P7G3
SPAC23C11.16	UniProtKB:P50528
SPCC14G10.03c	UniProtKB:O74416
SPCC1020.14	UniProtKB:Q05654
SPAC23A1.17	UniProtKB:O42854
SPAC26A3.03c	UniProtKB:Q10160
SPAC11G7.06c	UniProtKB:O13699
SPBP8B7.08c	UniProtKB:O94257
SPBC12C2.08	UniProtKB:Q09748
SPBC725.05c	UniProtKB:O94323
SPBC3E7.06c	UniProtKB:O59726
SPCC4G3.07c	UniProtKB:P87233
SPAC637.11	UniProtKB:O94445
SPCC663.02	UniProtKB:O74512
SPAC323.01c	UniProtKB:Q9UT98
SPCC24B10.11c	UniProtKB:Q9P7J4
SPBC1271.06c	UniProtKB:O94339
SPAC6F6.04c	UniProtKB:O14237
SPAC57A7.05	UniProtKB:P87136
SPBC1A4.06c	UniProtKB:O74339
SPBC30D10.07c	UniProtKB:O14353
SPAC7D4.06c	UniProtKB:Q9Y7I4
SPAC922.04	UniProtKB:Q9URX2
SPBC887.14c	UniProtKB:Q9UUA2
SPCC622.18	UniProtKB:P79071
SPAC1F8.04c	UniProtKB:Q92342
SPBC13G1.15c	UniProtKB:Q9C0X3
SPAC977.10	UniProtKB:P36606
SPBC1703.14c	UniProtKB:P07799
SPAC4G9.09c	UniProtKB:P31318
SPBC354.04	UniProtKB:O43018
SPCC63.13	UniProtKB:Q9Y7T9
SPAC11E3.12	UniProtKB:O13691
SPAC26H5.05	UniProtKB:O13987
SPBC19C2.10	UniProtKB:Q9UUD0
SPBC1539.01c	UniProtKB:Q9Y7Z7
SPCC126.12	UniProtKB:O94404
SPCC1494.01	UniProtKB:Q7LL04
SPCC613.06	UniProtKB:O74905
SPCC736.03c	UniProtKB:O74952
SPAP27G11.02	UniProtKB:Q9P7N6
SPAC6G10.03c	UniProtKB:O14249
SPBP19A11.06	UniProtKB:Q9HDV4
SPCC1235.07	UniProtKB:O74844
SPCC16C4.02c	UniProtKB:O74447
SPBP4H10.12	UniProtKB:Q9P7D6
SPBC405.06	UniProtKB:O94657
SPBP16F5.08c	UniProtKB:Q9HFE4
SPAC7D4.15c	UniProtKB:Q96VG2
SPBC1347.09	UniProtKB:O94628
SPBC28F2.12	UniProtKB:P36594
SPAC23G3.08c	UniProtKB:Q9P7S5
SPAC9.08c	UniProtKB:Q9UT20
SPAC1687.18c	UniProtKB:O94459
SPAC24C9.03	UniProtKB:O13963
SPBC32F12.06	UniProtKB:O74627
SPCC1620.01c	UniProtKB:O94408
SPBC2F12.15c	UniProtKB:O14345
SPBC1773.07c	UniProtKB:Q09717
SPAC17H9.17c	UniProtKB:O13814
SPAPB1E7.02c	UniProtKB:Q9C107
SPAC1565.04c	UniProtKB:P36622
SPAC644.05c	UniProtKB:Q9P6Q5
SPAC750.07c	UniProtKB:Q9P3E4
SPAC12G12.06c	UniProtKB:Q09870
SPAC1565.08	UniProtKB:Q9P3A7
SPBC1861.07	UniProtKB:Q9USX9
SPAC664.07c	UniProtKB:P26306
SPAC19B12.09	UniProtKB:Q9P372
SPBC25H2.02	UniProtKB:P87144
SPBC1604.17c	UniProtKB:O94729
SPBC16H5.03c	UniProtKB:O42939
SPBC36.12c	UniProtKB:O59709
SPAC227.08c	UniProtKB:Q9UTD1
SPAPJ696.01c	UniProtKB:Q9URW7
SPCC1840.06	UniProtKB:O74479
SPAC16E8.16	UniProtKB:O13749
SPAC1786.04	UniProtKB:Q9C116
SPBC3E7.09	UniProtKB:O59729
SPAC19A8.01c	UniProtKB:O13817
SPAC26A3.13c	UniProtKB:Q05654
SPBC1289.14	UniProtKB:Q7LKY2
SPBC6B1.07	UniProtKB:Q12381
SPAC24H6.05	UniProtKB:P06652
SPAC17G8.08c	UniProtKB:Q10320
SPBC2G2.12	UniProtKB:O43011
SPBC582.05c	UniProtKB:Q10337
SPBP4H10.20	UniProtKB:Q9P7C9
SPBC1778.04	UniProtKB:Q9Y7J1
SPBC18E5.04	UniProtKB:Q09127
SPAC1805.16c	UniProtKB:Q9UTG1
SPAC12B10.02c	UniProtKB:Q10436
SPBC725.03	UniProtKB:O94322
SPAC25G10.01	UniProtKB:Q10422
SPBC1105.05	UniProtKB:Q9URU6
SPBC4F6.09	UniProtKB:O74395
SPBC21H7.02	UniProtKB:O60171
SPBC1826.01c	UniProtKB:O43065
SPCC23B6.05c	UniProtKB:Q92374
SPBC18E5.02c	UniProtKB:O59682
SPAC323.08	UniProtKB:Q9UT91
SPAC1B3.11c	UniProtKB:O13876
SPAC823.12	UniProtKB:Q9P6N4
SPBC19F5.04	UniProtKB:O60163
SPAC5H10.09c	UniProtKB:Q09672
SPAC6G9.12	UniProtKB:Q92357
SPAC23H3.03c	UniProtKB:O42857
SPBC1652.02	UniProtKB:Q92367
SPAC4H3.01	UniProtKB:Q10209
SPAC13G6.14	UniProtKB:Q09790
SPCC550.15c	UniProtKB:O59811
SPAP8A3.11c	UniProtKB:Q9UT06
SPCC4B3.04c	UniProtKB:Q9USJ4
SPAC9G1.02	UniProtKB:O14299
SPAC4G9.12	UniProtKB:Q10242
SPAC17G6.05c	UniProtKB:O13783
SPAC3C7.09	UniProtKB:O14135
SPCC162.01c	UniProtKB:O74418
SPBC776.14	UniProtKB:O94680
SPCC1183.03c	UniProtKB:O74831
SPBC23G7.06c	UniProtKB:O94464
SPAC343.06c	UniProtKB:Q9UT84
SPCC970.11c	UniProtKB:O74564
SPBC3E7.10	UniProtKB:O59730
SPAC824.09c	UniProtKB:Q9UT34
SPBC337.05c	UniProtKB:P78921
SPCC622.19	UniProtKB:O94606
SPBC354.03	UniProtKB:O43017
SPBC14C8.02	UniProtKB:O60084
SPAC19A8.13	UniProtKB:O13829
SPCC569.03	UniProtKB:Q9Y7S2
SPAC4H3.04c	UniProtKB:Q10212
SPAC1527.03	UniProtKB:Q9P6K0
SPAC2F7.03c	UniProtKB:Q09690
SPBC725.13c	UniProtKB:O94329
SPAC5H10.05c	UniProtKB:Q09677
SPBC15C4.03	UniProtKB:O60112
SPBC119.01	UniProtKB:O42897
SPBC13E7.05	UniProtKB:Q9P6R5
SPAP8A3.08	UniProtKB:Q09196
SPBC19F5.05c	UniProtKB:O60164
SPBPB2B2.07c	UniProtKB:Q9HDU8
SPBP26C9.02c	UniProtKB:P37818
SPBC3E7.11c	UniProtKB:O59731
SPBC947.14c	UniProtKB:O43089
SPBPB7E8.02	UniProtKB:Q9C0V4
SPCC320.13c	UniProtKB:O59790
SPBC21C3.02c	UniProtKB:Q9P7M1
SPBC4B4.07c	UniProtKB:O74968
SPAC31A2.04c	UniProtKB:Q09720
SPAC29A4.18	UniProtKB:O14021
SPBC3B9.19	UniProtKB:O43047
SPCC4G3.02	UniProtKB:P49776
SPBC17G9.03c	UniProtKB:Q9UUE6
SPAC17A5.03	UniProtKB:P40372
SPBC31F10.13c	UniProtKB:P87314
SPAC32A11.04c	UniProtKB:P56329
SPBC16E9.01c	UniProtKB:O14318
SPAC26F1.09	UniProtKB:Q10496
SPCC737.09c	UniProtKB:Q02592
SPAC4G8.09	UniProtKB:Q09828
SPCC970.02	UniProtKB:O74556
SPAC6B12.03c	UniProtKB:O14208
SPAC31G5.02	UniProtKB:O14103
SPCC1322.02	UniProtKB:O94542
SPBC947.11c	UniProtKB:O43086
SPBC3H7.13	UniProtKB:O74388
SPBC16G5.04	UniProtKB:O60118
SPBC16A3.15c	UniProtKB:P04688
SPCC16A11.13	UniProtKB:Q9USM4
SPCC622.07	UniProtKB:O94597
SPCC338.10c	UniProtKB:O74988
SPAPB8E5.04c	UniProtKB:Q9C0X9
SPAC4D7.04c	UniProtKB:O14171
SPBP8B7.09c	UniProtKB:O94258
SPBC17D11.06	UniProtKB:O74761
SPAC16A10.06c	UniProtKB:Q4PIR3
SPAC17H9.18c	UniProtKB:O13815
SPAC3C7.06c	UniProtKB:O14132
SPBC11C11.08	UniProtKB:Q10193
SPAC222.05c	UniProtKB:Q9UTE7
SPAPB1E7.09	UniProtKB:Q9C100
SPBC354.12	UniProtKB:O43026
SPBC16A3.05c	UniProtKB:P41838
SPAC17C9.09c	UniProtKB:Q10481
SPBC3E7.07c	UniProtKB:O59727
SPBC9B6.06	UniProtKB:Q9Y7M5
SPBC106.17c	UniProtKB:Q10341
SPAC2C4.14c	UniProtKB:O14047
SPAC17C9.11c	UniProtKB:Q10483
SPAC3A11.08	UniProtKB:O14122
SPBC1539.07c	UniProtKB:P78870
SPBC18H10.17c	UniProtKB:O60147
SPCC63.03	UniProtKB:Q9Y7T0
SPBC947.03c	UniProtKB:O43080
SPCC338.17c	UniProtKB:P30776
SPAC631.02	UniProtKB:Q9HGP4
SPBC405.05	UniProtKB:O94656
SPBC8D2.09c	UniProtKB:Q7LL14
SPAC17A5.16	UniProtKB:O13776
SPAC1D4.12	UniProtKB:P26659
SPAC23C11.17	UniProtKB:O13920
SPAC664.12c	UniProtKB:Q9US02
SPBC16G5.11c	UniProtKB:O60125
SPAC144.05	UniProtKB:Q9UTL9
SPBC16G5.08	UniProtKB:O60122
SPCC285.09c	UniProtKB:P36599
SPBC660.17c	UniProtKB:O94433
SPAC2F3.02	UniProtKB:O14085
SPAC22E12.19	UniProtKB:Q10369
SPAC2G11.04	UniProtKB:Q09806
SPAC3A12.12	UniProtKB:P87127
SPAC29A4.08c	UniProtKB:O14011
SPBC28F2.02	UniProtKB:Q9USV4
SPBC1A4.11c	UniProtKB:O74342
SPCC18B5.08c	UniProtKB:Q9USL3
SPAP14E8.03	UniProtKB:Q9P7G5
SPAC22E12.11c	UniProtKB:Q10362
SPBP35G2.14	UniProtKB:Q9P789
SPAPB24D3.02c	UniProtKB:Q9C0Z0
SPAC3A12.09c	UniProtKB:P87125
SPAC890.03	UniProtKB:Q9URY1
SPBC12C2.10c	UniProtKB:Q09750
SPCC1827.03c	UniProtKB:O74976
SPBC646.09c	UniProtKB:O94513
SPBC543.07	UniProtKB:Q9Y884
SPCC1281.02c	UniProtKB:O94519
SPAC1687.22c	UniProtKB:O94462
SPBC106.11c	UniProtKB:Q9URV1
SPAC30.02c	UniProtKB:Q9P7V4
SPAC2E1P5.03	UniProtKB:Q9P7C1
SPBC3B9.16c	UniProtKB:O43044
SPAC8F11.09c	UniProtKB:Q9UT28
SPCC550.06c	UniProtKB:O59804
SPBC4F6.18c	UniProtKB:P36579
SPAC11D3.15	UniProtKB:Q10094
SPCC830.10	UniProtKB:Q9UU89
SPCC4B3.14	UniProtKB:Q9USK4
SPAC19G12.14	UniProtKB:O13853
SPBC839.11c	UniProtKB:Q8WZJ9
SPBC1773.16c	UniProtKB:O94573
SPAC13G7.03	UniProtKB:Q10267
SPAC18G6.03	UniProtKB:P17610
SPCC645.12c	UniProtKB:Q9Y7V1
SPCC645.02	UniProtKB:Q9Y7U3
SPAC1250.02	UniProtKB:Q9UTN7
SPAC23D3.02	UniProtKB:Q09843
SPAC3C7.13c	UniProtKB:O14137
SPBC3F6.04c	UniProtKB:O43051
SPAC6F6.17	UniProtKB:Q96UP3
SPAC9E9.02	UniProtKB:A6X978
SPAC24H6.04	UniProtKB:Q09756
SPBC1539.03c	UniProtKB:P50514
SPCC16C4.09	UniProtKB:O74454
SPAC11H11.06	UniProtKB:Q9UUJ1
SPAPB17E12.02	UniProtKB:Q9P347
SPAC227.09	UniProtKB:Q9UTD0
SPBC12D12.07c	UniProtKB:O94504
SPCC16C4.11	UniProtKB:O74456
SPBC216.06c	UniProtKB:Q9UUM2
SPAC6G10.04c	UniProtKB:O14250
SPBC30D10.05c	UniProtKB:O14351
SPBC21C3.17c	UniProtKB:Q9P7K7
SPAC57A10.06	UniProtKB:P87054
SPBC16G5.07c	UniProtKB:O60121
SPBC21C3.20c	UniProtKB:Q9P7K5
SPAC1782.06c	UniProtKB:Q9P7H3
SPBC36.05c	UniProtKB:O59702
SPAC186.01	UniProtKB:Q9P7Q2
SPCC417.08	UniProtKB:O94489
SPAPB1A10.13	UniProtKB:Q9HDX7
SPAC1B3.12c	UniProtKB:O13877
SPCC970.12	UniProtKB:Q9P802
SPCC297.04c	UniProtKB:Q9Y7Q6
SPAC222.14c	UniProtKB:Q9UTE0
SPCC1682.06	UniProtKB:O74437
SPAC16C9.06c	UniProtKB:Q09820
SPAC10F6.13c	UniProtKB:O42652
SPAC23D3.04c	UniProtKB:Q09845
SPCC1223.05c	UniProtKB:P05733
SPBC14C8.12	UniProtKB:Q92399
SPCC1840.09	UniProtKB:O74482
SPAC1D4.04	UniProtKB:Q10147
SPAC19G12.08	UniProtKB:O13846
SPAC1687.19c	UniProtKB:O94460
SPAC15E1.10	UniProtKB:Q9UTI1
SPAC644.10	UniProtKB:Q9P6Q0
SPAC3G9.01	UniProtKB:Q7LL22
SPAC644.15	UniProtKB:P17476
SPAC1002.14	UniProtKB:Q9US46
SPAC23C4.07	UniProtKB:O13927
SPAC6F6.03c	UniProtKB:O14236
SPBP8B7.20c	UniProtKB:O94268
SPAC926.03	UniProtKB:Q9UUG5
SPBC1105.14	UniProtKB:Q9Y815
SPBC11G11.06c	UniProtKB:Q9USZ3
SPBC530.11c	UniProtKB:O59746
SPCC1393.13	UniProtKB:O94725
SPAC977.09c	UniProtKB:Q9P327
SPBC25B2.04c	UniProtKB:O74776
SPBPB8B6.05c	UniProtKB:Q8TFF8
SPAC23A1.07	UniProtKB:O42845
SPAC24C9.08	UniProtKB:O13968
SPAC31A2.05c	UniProtKB:Q09725
SPCC1672.09	UniProtKB:O74430
SPCC18B5.10c	UniProtKB:Q9USL1
SPAC1296.02	UniProtKB:P79010
SPAC12B10.03	UniProtKB:Q10437
SPBC13E7.04	UniProtKB:Q9P6R6
SPAC806.04c	UniProtKB:Q9UT55
SPAC23G3.03	UniProtKB:Q9P7T0
SPAC17G6.07c	UniProtKB:O13785
SPBC1778.06c	UniProtKB:O59945
SPCC548.05c	UniProtKB:Q9P3U8
SPCC645.05c	UniProtKB:Q9USI6
SPBC29A3.06	UniProtKB:P78750
SPAC20G4.03c	UniProtKB:O13889
SPBC16H5.15	UniProtKB:Q9USY8
SPBC1709.04c	UniProtKB:O74729
SPAC22F3.06c	UniProtKB:Q09769
SPAC1D4.03c	UniProtKB:Q10150
SPAC2F7.02c	UniProtKB:Q09695
SPAC1002.05c	UniProtKB:Q9US53
SPAC4C5.03	UniProtKB:O14166
SPBC30D10.10c	UniProtKB:O14356
SPBC28F2.06c	UniProtKB:Q92377
SPAC4D7.02c	UniProtKB:O14169
SPAC4D7.08c	UniProtKB:P41390
SPBC106.18	UniProtKB:Q10330
SPBC428.18	UniProtKB:P40382
SPAC1687.21	UniProtKB:O94461
SPBC21B10.04c	UniProtKB:Q9UR17
SPBC713.03	UniProtKB:Q9C1X2
SPAP27G11.03	UniProtKB:Q9P7N5
SPAC6G9.09c	UniProtKB:Q92354
SPBC32C12.02	UniProtKB:P36631
SPAC17H9.19c	UniProtKB:Q10990
SPBC13A2.01c	UniProtKB:Q9P383
SPAC222.04c	UniProtKB:Q9UTE8
SPBC25B2.07c	UniProtKB:O74779
SPCC162.02c	UniProtKB:O74419
SPCC594.02c	UniProtKB:O74505
SPCC1884.02	UniProtKB:O74869
SPBC146.04	UniProtKB:Q9Y806
SPBC27B12.01c	UniProtKB:O74368
SPAC17A2.15	UniProtKB:Q3HKA4
SPCC613.09	UniProtKB:O74908
SPAC22H10.05c	UniProtKB:Q10299
SPBC25D12.04	UniProtKB:P36603
SPAC30D11.09	UniProtKB:Q09909
SPBC3H7.05c	UniProtKB:O74380
SPBC2D10.11c	UniProtKB:P78920
SPAC22H12.04c	UniProtKB:O94438
SPBC20F10.07	UniProtKB:O42976
SPBC685.07c	UniProtKB:O14388
SPAC31G5.17c	UniProtKB:O14112
SPCC4E9.01c	UniProtKB:Q92380
SPAC1071.01c	UniProtKB:Q10222
SPBC337.11	UniProtKB:O74822
SPCC126.06	UniProtKB:O94399
SPAC4F8.10c	UniProtKB:O14185
SPAPB18E9.04c	UniProtKB:Q8TFG4
SPAC22E12.01	UniProtKB:Q10354
SPBC18E5.14c	UniProtKB:Q9C0X1
SPAC12G12.12	UniProtKB:Q09875
SPAC5H10.10	UniProtKB:Q09671
SPAC2F7.13c	UniProtKB:Q09692
SPBC3H7.01	UniProtKB:Q10659
SPBP4H10.13	UniProtKB:P79057
SPAC22F3.03c	UniProtKB:Q09772
SPBC28F2.11	UniProtKB:Q9USU7
SPBC23G7.15c	UniProtKB:P17478
SPAC824.05	UniProtKB:Q9UT38
SPBC2F12.07c	UniProtKB:P08093
SPBC11C11.04c	UniProtKB:Q10197
SPCC4G3.14	UniProtKB:P87239
SPBC1215.01	UniProtKB:Q9Y810
SPCC4B3.13	UniProtKB:Q9USK3
SPAC57A7.04c	UniProtKB:P31209
SPBC1685.14c	UniProtKB:O74334
SPAC513.02	UniProtKB:Q9UT63
SPAC1F12.06c	UniProtKB:Q10348
SPAC19B12.08	UniProtKB:Q9P373
SPBC1289.15	UniProtKB:Q9URU4
SPBC17A3.06	UniProtKB:O13632
SPAC1F5.10	UniProtKB:Q10055
SPBC646.10c	UniProtKB:O94514
SPBC3B8.06	UniProtKB:O59714
SPBC365.01	UniProtKB:Q9UUC2
SPAC22E12.04	UniProtKB:Q10357
SPBC725.04	UniProtKB:Q9Y7M1
SPAC458.04c	UniProtKB:Q9P3W4
SPBC4F6.05c	UniProtKB:O42707
SPBC1703.11	UniProtKB:Q9P7W0
SPAC31G5.03	UniProtKB:P79013
SPCC31H12.05c	UniProtKB:P23880
SPAC3H5.12c	UniProtKB:P52822
SPCC645.06c	UniProtKB:Q9Y7U5
SPAC1B3.10c	UniProtKB:O13875
SPBC530.10c	UniProtKB:Q09188
SPCC736.10c	UniProtKB:O74956
SPBC336.10c	UniProtKB:Q9UST4
SPAC1527.02	UniProtKB:Q9P6K1
SPAC19A8.10	UniProtKB:O13826
SPCC965.11c	UniProtKB:O59831
SPBC31F10.10c	UniProtKB:P87311
SPBC29A10.06c	UniProtKB:O94384
SPBC8D2.13	UniProtKB:O43076
SPAC4D7.09	UniProtKB:P56288
SPBC16H5.13	UniProtKB:O42948
SPAC3A11.07	UniProtKB:O14121
SPAC1F7.12	UniProtKB:Q09923
SPCPB16A4.04c	UniProtKB:Q96WV1
SPCC1620.10	UniProtKB:O94417
SPCC663.14c	UniProtKB:O74520
SPAC2C4.05	UniProtKB:O14038
