SPAC22H10.13	YOR031W
SPBC16H5.09C	YBR199W|YBR205W|YDR483W|YJL139C|YKR061W|YOR099W|YPL053C
SPBC16H5.08C	YER036C
SPBC16H5.04	YBR106W
SPBC16G5.19	NONE
SPBC16G5.17	NONE
SPBC16G5.16	NONE
SPBC16G5.13	NONE
SPBC16G5.10	YDL111C
SPBC16G5.09	YGL203C
SPBC16G5.07C	NONE
SPBC16G5.06	NONE
SPBC16G5.05C	YBL091C-A|YER120W
SPBC16G5.04	YOR150W
SPBC16G5.03	NONE
SPBC16G5.02C	YCR036W
SPBC16E9.19	NONE
SPBC16E9.18	YNL169C
SPBC16E9.16C	NONE
SPBC16E9.15	NONE
SPBC16E9.14C	YNR039C
SPBC16E9.10C	YLL034C
SPBC16E9.09C	YGL002W|YHR110W
SPBC16E9.07	NONE
SPBC16E9.03C	YIL157C
SPBC16E9.02C	YOR042W
SPBC16E9.01C	NONE
SPBC16D10.10	YJL035C
SPBC16D10.08C	YLL026W
SPBC16D10.06	YGL255W|YLR130C
SPBC16D10.01C	YDR161W
SPBC16C6.12C	YKR063C
SPBC16C6.05	YJR014W
SPBC16C6.04	NONE
SPBC16C6.03C	NONE
SPBC16C6.01C	NONE
SPBC16A3.19	YNL136W
SPBC16A3.17C	YBR293W|YCL069W|YGR224W|YPR198W|YPR198W
SPBC16A3.16	YJR034W
SPBC16A3.14	YDR347W|YJR101W
SPBC16A3.12C	YKL140W
SPBC16A3.10	YOR175C
SPBC16A3.08C	YLR150W
SPBC16A3.06	YGL243W
SPBC16A3.04	YIL093C
SPBC16A3.02C	YMR152W
SPBC1685.16	YCL005W-A
SPBC1685.14C	YNL212W
SPBC1685.13	YGR131W|YPR149W
SPBC1685.12C	NONE
SPBC1685.08	YPL181W
SPBC1685.07C	YBL089W|YER119C
SPBC1685.05	YNL123W
SPBC1685.04	NONE
SPBC1683.13C	YLR098C|YOR337W
SPBC1683.12	YGR260W
SPBC1683.11C	YER065C|YPR006C
SPBC1683.10C	YLR220W
SPBC1683.06C	YDR400W
SPBC1683.05	YLR237W|YOR071C|YOR192C
SPBC1683.04	NONE
SPBC1683.03C	YOR378W
SPBC1683.02	NONE
SPBC1683.01	YML123C
SPBC1677.03C	YER086W
SPBC1652.01	YDR169C
SPBC1604.19C	YDR108W
SPBC1604.18C	YJL049W
SPBC1604.17C	YJR136C
SPBC1604.16C	NONE
SPBC1604.13C	YCR003W
SPBC1604.12	NONE
SPBC1604.09C	YOL080C
SPBC1604.06C	YPR144C
SPBC1604.04	YGR096W
SPBC1604.03C	NONE
SPBC1604.02C	NONE
SPBC1604.01	NONE
SPBC15D4.13C	NONE
SPBC15D4.12C	NONE
SPBC15D4.11C	NONE
SPBC15D4.09C	YJR130C|YLL058W|YML082C
SPBC15D4.08C	NONE
SPBC15D4.06	YPR051W
SPBC15D4.05	YNR029C
SPBC15D4.02	NONE
SPBC15D4.01C	NONE
SPBC15C4.06C	NONE
SPBC15C4.05	NONE
SPBC15C4.04C	YDL210W|YGL077C|YKL174C
SPBC15C4.03	YOR370C
SPBC15C4.02	YLR253W
SPBC1539.10	YER002W
SPBC1539.08	YDL137W|YDL192W|YOR094W
SPBC1539.07C	YDL168W
SPBC1539.06	YGR037C
SPBC1539.05	YER157W
SPBC1539.04	YLL023C|YLR064W
SPBC1539.03C	YHR018C
SPBC1539.02	NONE
SPBC1539.01C	YLR312W-A
SPBC14F5.13C	YDR481C
SPBC14F5.11C	YDR425W
SPBC14F5.10C	NONE
SPBC14F5.07	YIL030C
SPBC14F5.06	YDR091C
SPBC14F5.02	NONE
SPBC14F5.01	NONE
SPBC14C8.17C	YLR055C
SPBC14C8.15	YKL140W
SPBC14C8.13	YLR412W
SPBC14C8.11C	NONE
SPBC14C8.10	YMR193W
SPBC14C8.09C	YDL177C
SPBC14C8.08C	NONE
SPBC14C8.04	YCL009C
SPBC14C8.02	YIL022W
SPBC146.08C	NONE
SPBC146.06C	NONE
SPBC146.04	YPR037C
SPBC146.02	NONE
SPBC146.01	YOL051W
SPBC13G1.15C	NONE
SPBC13G1.14C	NONE
SPBC13G1.10C	YGR271W
SPBC13G1.09	YBR247C
SPBC13G1.07	YDR126W
SPBC13G1.05	YER140W
SPBC13G1.04C	NONE
SPBC13G1.03C	YGL153W
SPBC13G1.02	NONE
SPBC13G1.01C	YNL137C
SPBC13E7.11	YGR101W
SPBC13E7.08C	YOR123C
SPBC13E7.07	NONE
SPBC13E7.06	NONE
SPBC13E7.03C	YOR359W
SPBC13A2.04C	YKR093W
SPBC13A2.03	YBR029C
SPBC13A2.02	YJL061W
SPBC13A2.01C	YPL178W
SPBC1348.14C	YDL245C|YDR342C|YDR343C|YDR536W|YEL069C|YGR289C|YHR092C|YHR094C|YHR096C|YIL171W|YJL214W|YJL219W|YJR158W|YLR081W|YMR011W|YNL318C|YNR072W|YOL156W
SPBC1348.10C	YMR006C|YMR008C|YOL011W
SPBC1348.09	NONE
SPBC1348.08C	NONE
SPBC1348.07	NONE
SPBC1348.06C	YGL258W|YOR387C
SPBC1348.05	NONE
SPBC1348.04	NONE
SPBC1348.03	NONE
SPBC1348.02	NONE
SPBC1348.01	NONE
SPBC1347.14C	NONE
SPBC1347.13C	YOR201C
SPBC1347.12	YHR129C
SPBC1347.11	NONE
SPBC1347.09	YOL096C
SPBC1347.08C	YDR279W
SPBC1347.07	YLR059C
SPBC1347.05C	YMR214W
SPBC1347.04	YJL054W
SPBC1347.01C	YOR346W
SPBC1306.02	YPL183C
SPBC1306.01C	YLR069C
SPBC12D12.05C	YNL083W
SPBC12C2.14C	NONE
SPBC12C2.11	YKL104C|YMR084W
SPBC12C2.09C	YDR492W|YOL002C
SPBC12C2.08	YLL001W
SPBC12C2.07C	YLR146C|YPR069C
SPBC12C2.06	YOR046C
SPBC12C2.05C	YHR114W
SPBC12C2.04	NONE
SPBC12C2.03C	NONE
SPBC12C2.01C	NONE
SPBC1289.17	NONE
SPBC1289.16C	NONE
SPBC1289.15	NONE
SPBC1289.14	NONE
SPBC1289.13C	YDR245W|YJL183W
SPBC1289.12	NONE
SPBC1289.10C	YER109C
SPBC1289.08	YDL103C
SPBC1289.06C	NONE
SPBC1289.01C	YBL061C|YDL203C|YER096W
SPBC1271.15C	YOL023W
SPBC1271.14	NONE
SPBC1271.13	YJL063C
SPBC1271.11	NONE
SPBC1271.10C	YNR055C
SPBC1271.09	YCR098C
SPBC1271.08C	NONE
SPBC1271.07C	NONE
SPBC1271.06C	NONE
SPBC1271.05C	YOR052C
SPBC1271.04C	YHR068W
SPBC1271.03C	YLL010C|YLR019W
SPBC1215.02C	YOL076W
SPBC1215.01	YGR112W
SPBC11G11.07	YOR160W
SPBC11G11.03	YKL009W
SPBC11G11.01	YIL065C
SPBC11C11.11C	YDR332W
SPBC11C11.10	YNL292W
SPBC11C11.06C	NONE
SPBC11C11.05	YDL049C|YJL174W
SPBC11C11.01	NONE
SPBC11B10.08	YFL010C
SPBC11B10.07C	YCR094W|YNL323W|YNR048W
SPBC11B10.04C	YDR337W
SPBC11B10.03	YML071C
SPBC1198.10C	YCR024C
SPBC1198.08	YFR044C
SPBC1198.07C	YMR238W
SPBC1198.06C	YMR238W
SPBC1198.05	YDR454C
SPBC1198.03C	NONE
SPBC1198.01	NONE
SPBC119.18	YKL053C-A
SPBC119.17	YDR430C
SPBC119.16C	YKL047W
SPBC119.15	YJR072C
SPBC119.12	YOR216C
SPBC119.10	YGR124W|YPR145W
SPBC119.09C	YGR038W|YLR350W
SPBC119.05C	YGR136W|YPR154W
SPBC119.03	NONE
SPBC115.03	YMR315W
SPBC115.02C	YEL052W
SPBC1105.18C	YLR281C
SPBC1105.16C	YIR015W
SPBC1105.15C	YHR067W
SPBC1105.14	YDL020C
SPBC1105.13C	NONE
SPBC1105.08	YDR107C|YLR083C
SPBC1105.07C	YOL072W
SPBC1105.01	YPL012W
SPBC106.19	NONE
SPBC106.17C	YNL277W
SPBC106.16	YOL038W
SPBC106.13	YIL097W
SPBC106.12C	NONE
SPBC106.08C	NONE
SPBC106.07C	YGR147C
SPBC106.05C	YDR322C-A
SPBC106.03	YHR017W
SPCC553.09C	YBL035C
SPAC1687.11	YCL054W
SPAPYUK71.03C	YML072C|YNL087W|YOR086C
SPAPYUG7.06	NONE
SPAPYUG7.05	YER023W
SPAPJ696.02	YFR024C-A|YHR016C
SPAPJ695.01C	NONE
SPAPJ691.03	YCL057C-A
SPAPJ691.02	YBL049W
SPAPB8E5.10	NONE
SPAPB8E5.09	YDR190C|YPL235W
SPAPB8E5.08	NONE
SPAPB8E5.07C	YPL012W
SPAPB8E5.04C	YDL046W
SPAPB2C8.01	NONE
SPAPB2B4.07	NONE
SPAPB2B4.06	YBL095W
SPAPB2B4.04C	YGL006W
SPAPB24D3.09C	YDR011W|YDR406W|YNR070W|YOR153W|YOR328W|YPL058C
SPAPB24D3.08C	YML131W
SPAPB24D3.07C	NONE
SPAPB24D3.06C	NONE
SPAPB24D3.03	NONE
SPAPB24D3.02C	YDL210W|YGL077C|YKL174C
SPAPB24D3.01	NONE
SPAPB21F2.03	YGR081C
SPAPB21F2.02	YDR141C
SPAPB1E7.11C	NONE
SPAPB1E7.08C	NONE
SPAPB1E7.07	YDL171C
SPAPB1E7.05	YPL110C
SPAPB1E7.04C	YDR371W|YLR286C
SPAPB1E7.03	YPR190C
SPAPB1E7.01C	NONE
SPAPB1A11.04C	NONE
SPAPB1A11.02	NONE
SPAPB1A11.01	NONE
SPAPB1A10.15	YLR242C
SPAPB1A10.14	NONE
SPAPB1A10.13	NONE
SPAPB1A10.12C	YML086C
SPAPB1A10.11C	YOL033W
SPAPB1A10.08	NONE
SPAPB1A10.07C	YDR105C
SPAPB1A10.06C	YMR128W
SPAPB1A10.05	NONE
SPAPB1A10.02	NONE
SPAPB18E9.05C	NONE
SPAPB18E9.04C	NONE
SPAPB18E9.03C	NONE
SPAPB17E12.14C	YIL107C
SPAPB17E12.12C	YPR011C
SPAPB17E12.11	YML019W|YOR085W
SPAPB17E12.10C	NONE
SPAPB17E12.09	NONE
SPAPB17E12.08	YNL080C
SPAPB17E12.07C	YLR105C
SPAPB17E12.03	YMR026C
SPAPB15E9.02C	NONE
SPAPB15E9.01C	NONE
SPAP8A3.14C	YLR139C
SPAP8A3.13C	NONE
SPAP8A3.12C	NONE
SPAP8A3.11C	YHR168W
SPAP8A3.10	YLR193C
SPAP8A3.07C	YBR249C|YDR035W
SPAP8A3.06	NONE
SPAP8A3.05	YOR076C
SPAP8A3.03	YIL023C
SPAP8A3.02C	NONE
SPAP7G5.06	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YGR191W|YKR039W|YOL020W
SPAP7G5.03	YNL279W
SPAP32A8.03C	NONE
SPAP32A8.02	YJR096W
SPAP27G11.16	NONE
SPAP27G11.14C	NONE
SPAP27G11.12	NONE
SPAP27G11.11C	NONE
SPAP27G11.09C	YBL033C
SPAP27G11.08C	NONE
SPAP27G11.07C	YGR262C
SPAP27G11.06C	YLR170C
SPAP27G11.04C	YLR316C
SPAP27G11.03	YLR215C
SPAP27G11.02	YKL133C|YMR115W
SPAP19A11.05C	YNL005C
SPAP14E8.05C	YJR085C
SPAP14E8.02	YDR501W|YLR183C
SPAP11E10.01	YGL159W
SPACUNK4.19	NONE
SPACUNK4.17	NONE
SPACUNK4.16C	YML100W|YMR261C
SPACUNK4.15	YGR247W
SPACUNK4.14	NONE
SPACUNK4.13C	YBR025C|YHL014C
SPACUNK4.12C	YLR389C
SPACUNK4.11C	NONE
SPACUNK4.10	YNL274C
SPACUNK4.09	NONE
SPACUNK4.08	YHR028C|YOR219C
SPAC9G1.13C	YGR002C
SPAC9G1.10C	YOR109W
SPAC9G1.08C	NONE
SPAC9G1.07	NONE
SPAC9G1.05	YMR092C
SPAC9E9.17C	NONE
SPAC9E9.15	NONE
SPAC9E9.12C	YDR135C|YGR281W|YHL035C|YLL015W|YLL048C
SPAC9E9.09C	YER073W|YOR374W|YPL061W
SPAC9E9.06C	YCR053W
SPAC9E9.05	NONE
SPAC9E9.04	YDL072C|YKL065C|YMR040W
SPAC9E9.02	NONE
SPAC9E9.01	NONE
SPAC977.17	YFL054C
SPAC977.15	YAL049C
SPAC977.14C	NONE
SPAC977.12	YLR155C|YLR157C|YLR158C|YLR160C
SPAC977.11	YOR390W|YPL279C
SPAC977.09C	YMR006C|YMR008C|YOL011W
SPAC977.08	NONE
SPAC977.07C	NONE
SPAC977.06	NONE
SPAC977.05C	YGL258W|YOR387C
SPAC977.03	NONE
SPAC977.02	NONE
SPAC977.01	NONE
SPAC959.10	YMR059W
SPAC959.06C	NONE
SPAC959.05C	YIL005W
SPAC959.04C	NONE
SPAC959.03C	YER082C
SPAC926.08C	YKR081C
SPAC926.07C	YDR424C
SPAC926.06C	YOR353C
SPAC926.05C	YJR097W
SPAC926.02	YNL193W
SPAC922.07C	YMR169C|YMR170C
SPAC922.06	NONE
SPAC922.05C	NONE
SPAC922.04	NONE
SPAC922.03	NONE
SPAC9.11	NONE
SPAC9.10	YDL210W|YGL077C|YKL174C
SPAC9.08C	NONE
SPAC9.07C	YAL036C
SPAC9.06C	YJR024C
SPAC9.02C	YDR071C
SPAC8F11.08C	NONE
SPAC8F11.06	YGL247W|YHR036W
SPAC8F11.05C	NONE
SPAC8F11.04	YHR052W|YKR060W
SPAC8F11.02C	YBL071W-A
SPAC8E11.09C	NONE
SPAC8E11.08C	NONE
SPAC8E11.06	NONE
SPAC8E11.05C	NONE
SPAC8E11.04C	NONE
SPAC8E11.01C	YIL162W
SPAC8C9.20	NONE
SPAC8C9.19	YJL127C-B
SPAC8C9.16C	YPL196W
SPAC8C9.12C	YJL133W|YKR052C
SPAC8C9.11	YGL220W
SPAC8C9.10C	NONE
SPAC8C9.09C	NONE
SPAC8C9.07	YLR068W
SPAC8C9.06C	YLR067C
SPAC8C9.05	YDL219W
SPAC8C9.04	NONE
SPAC890.06	YBL079W|YER105C
SPAC890.05	YGR280C|YMR269W
SPAC890.04C	YOR272W
SPAC869.11	YBR068C|YBR069C|YCL025C|YDR046C|YDR508C|YGR191W|YKR039W|YOL020W
SPAC869.10C	YOR348C
SPAC869.09	NONE
SPAC869.08	NONE
SPAC869.06C	NONE
SPAC869.05C	YBR294W|YLR092W
SPAC869.04	NONE
SPAC869.03C	YHL016C
SPAC869.02C	NONE
SPAC869.01	NONE
SPAC824.09C	YDR524C|YIL044C
SPAC824.07	YDR272W|YOR040W
SPAC824.04	YKL018W
SPAC824.03C	YOR305W
SPAC824.02	YFL025C
SPAC823.14	YNL010W
SPAC823.13C	YDR393W
SPAC823.12	YMR231W
SPAC823.11	YJL134W|YKR053C
SPAC823.10C	YDL119C
SPAC823.09C	NONE
SPAC823.08C	YHR065C
SPAC823.07	YCR044C
SPAC823.04	YOR287C
SPAC823.02	NONE
SPAC821.13C	YMR162C
SPAC821.05	NONE
SPAC821.03C	NONE
SPAC806.11	NONE
SPAC806.08C	NONE
SPAC806.06C	YGR010W|YLR328W
SPAC806.05	NONE
SPAC806.04C	YMR027W
SPAC7D4.15C	YDL232W
SPAC7D4.14C	NONE
SPAC7D4.13C	NONE
SPAC7D4.12C	YJL107C
SPAC7D4.09C	YIL049W
SPAC7D4.08	NONE
SPAC7D4.05	YMR130W
SPAC7D4.03C	NONE
SPAC7D4.02C	NONE
SPAC750.08C	YKL029C
SPAC750.07C	NONE
SPAC750.06C	NONE
SPAC750.05C	NONE
SPAC750.04C	NONE
SPAC750.03C	NONE
SPAC750.02C	NONE
SPAC732.02C	YJL155C
SPAC6G9.16C	NONE
SPAC6G9.15C	NONE
SPAC6G9.14	YGL014W|YGL178W
SPAC6G9.08	YFR010W
SPAC6G9.05	YLR151C
SPAC6G9.03C	YNL206C
SPAC6G9.01C	NONE
SPAC6G10.10C	NONE
SPAC6G10.09	YGL027C
SPAC6G10.07	YMR125W
SPAC6G10.06	YHR009C
SPAC6G10.05C	YDR407C
SPAC6G10.04C	YMR314W
SPAC6G10.03C	YGR110W
SPAC6F6.18C	NONE
SPAC6F6.16C	NONE
SPAC6F6.13C	YFL034W
SPAC6F6.12	YJL036W
SPAC6F6.11C	YNR027W
SPAC6F6.09	YJR082C
SPAC6F6.05	YOR103C
SPAC6F6.04C	NONE
SPAC6F6.03C	YNR053C
SPAC6F6.01	YGR217W
SPAC6F12.17	YMR061W
SPAC6F12.16C	YJL050W
SPAC6F12.13C	YJL167W
SPAC6F12.08C	YBR102C
SPAC6F12.06	YDL135C
SPAC6F12.04	YDR100W
SPAC6C3.09	NONE
SPAC6C3.08	YGR232W
SPAC6C3.07	NONE
SPAC6C3.06C	YIL048W
SPAC6C3.05	NONE
SPAC6C3.03C	NONE
SPAC6C3.02C	YMR002W
SPAC6B12.18	NONE
SPAC6B12.14C	NONE
SPAC6B12.13	YFR003C
SPAC6B12.08	NONE
SPAC6B12.07C	NONE
SPAC6B12.06C	YNL213C
SPAC6B12.05C	YNL215W
SPAC6B12.04C	YJL060W
SPAC6B12.03C	NONE
SPAC6B12.02C	NONE
SPAC694.04C	YER156C
SPAC694.03	YCL047C
SPAC694.02	NONE
SPAC688.14	YDR257C
SPAC688.12C	NONE
SPAC688.09	YBR192W
SPAC688.07C	NONE
SPAC688.03C	YOR289W
SPAC683.03	NONE
SPAC683.02C	YNL255C
SPAC664.15	YJL112W|YKR036C
SPAC664.13	NONE
SPAC664.12C	YDR379C-A
SPAC664.08C	YDR299W
SPAC664.03	YBR279W
SPAC664.02C	YOR141C
SPAC652.01	NONE
SPAC644.17C	YGR220C
SPAC644.16	YGL044C
SPAC644.13C	YGL198W
SPAC644.11C	YGL059W|YIL042C
SPAC644.10	NONE
SPAC644.09	YBL036C
SPAC644.08	YEL038W
SPAC644.07	YDR375C
SPAC644.05C	YBR252W
SPAC637.13C	YIL105C|YNL047C
SPAC637.09	YGR276C
SPAC637.08	YGL091C
SPAC637.06	YDR245W|YJL183W
SPAC637.04	YGR198W
SPAC637.03	NONE
SPAC631.02	YDL070W|YLR399C
SPAC630.15	NONE
SPAC630.12	YDR182W
SPAC630.10	YBR141C
SPAC630.09C	YGR205W
SPAC630.08C	YGR060W
SPAC630.07C	NONE
SPAC630.06C	NONE
SPAC630.05	YDL234C
SPAC630.04C	NONE
SPAC607.08C	YFL034W
SPAC607.07C	NONE
SPAC607.06C	YIL108W
SPAC607.04	YDR173C
SPAC607.02C	NONE
SPAC5H10.12C	YOR320C
SPAC5H10.10	YHR179W|YPL171C
SPAC5H10.09C	YBR176W
SPAC5H10.08C	YIL145C
SPAC5H10.07	NONE
SPAC5H10.05C	NONE
SPAC5H10.04	YHR179W|YPL171C
SPAC5H10.03	NONE
SPAC5H10.02C	YDR533C|YMR322C|YOR391C|YPL280W
SPAC5H10.01	NONE
SPAC5D6.13	YDR372C
SPAC5D6.12	NONE
SPAC5D6.10C	NONE
SPAC5D6.09C	YCR010C|YDR384C|YNR002C
SPAC5D6.07C	NONE
SPAC5D6.06C	YBR070C
SPAC5D6.04	YBR287W
SPAC5D6.02C	NONE
SPAC589.12	YCR017C
SPAC589.11	YOL114C
SPAC589.10C	YLR167W
SPAC589.09	YLR380W
SPAC589.07C	YFR021W
SPAC589.06C	YBR106W
SPAC589.05C	NONE
SPAC589.04	NONE
SPAC589.03C	NONE
SPAC57A7.13	NONE
SPAC57A7.12	YHR064C
SPAC57A7.09	NONE
SPAC57A7.07C	YLL062C|YPL273W
SPAC57A7.06	YML093W
SPAC57A7.05	YDL231C
SPAC57A7.04C	YER165W
SPAC57A10.09C	YBR089C-A|YPR052C
SPAC57A10.08C	NONE
SPAC57A10.07	YOR238W
SPAC57A10.06	NONE
SPAC57A10.04	NONE
SPAC56F8.15	NONE
SPAC56F8.14C	NONE
SPAC56F8.13	NONE
SPAC56F8.12	NONE
SPAC56F8.07	NONE
SPAC56F8.05C	YIL041W
SPAC56F8.03	YAL035W
SPAC56F8.02	YOR093C
SPAC56E4.07	NONE
SPAC56E4.05	YLR065C
SPAC56E4.03	YGL202W|YHR137W
SPAC521.04C	YNL321W
SPAC521.03	YMR226C
SPAC521.02	YHR134W
SPAC513.07	YDR541C|YGL039W|YGL157W|YOL151W
SPAC513.06C	NONE
SPAC513.04	NONE
SPAC513.02	NONE
SPAC4H3.14C	NONE
SPAC4H3.13	YKR095W-A
SPAC4H3.12C	NONE
SPAC4H3.11C	NONE
SPAC4H3.09	YKL192C
SPAC4H3.08	YKR009C
SPAC4H3.07C	YOR285W|YOR286W
SPAC4H3.06	NONE
SPAC4H3.04C	YJR008W
SPAC4H3.03C	NONE
SPAC4H3.02C	NONE
SPAC4H3.01	YER048C|YIR004W
SPAC4G9.20C	YBR104W|YPR058W
SPAC4G9.19	NONE
SPAC4G9.17C	YBR251W
SPAC4G9.15	YBR159W
SPAC4G9.14	YLR251W
SPAC4G9.12	YDR248C
SPAC4G9.07	NONE
SPAC4G9.06C	NONE
SPAC4G9.05	YLL013C
SPAC4G9.04C	YDR228C
SPAC4G9.02	YNL072W
SPAC4G8.15C	NONE
SPAC4G8.12C	YOR149C
SPAC4G8.09	YLR382C
SPAC4G8.08	YJL133W|YKR052C
SPAC4G8.07C	YKR056W
SPAC4G8.04	NONE
SPAC4G8.03C	YGL014W|YGL178W
SPAC4F8.11	YOL138C
SPAC4F8.08	NONE
SPAC4F8.06	YNR036C
SPAC4F8.05C	YDR462W
SPAC4F8.04	YHR088W
SPAC4F8.03	YLR022C
SPAC4F8.02C	YPL173W
SPAC4F8.01	YKL002W
SPAC4F10.19C	YJR055W
SPAC4F10.18	NONE
SPAC4F10.17	YOL109W
SPAC4F10.16C	YER166W
SPAC4F10.10C	YEL036C|YML115C|YPL050C
SPAC4F10.09C	YDR060W
SPAC4F10.08	NONE
SPAC4F10.06	YMR014W
SPAC4F10.05C	YLR239C
SPAC4F10.04	YIL153W
SPAC4F10.03C	YBR061C
SPAC4F10.02	YHR113W
SPAC4D7.11	NONE
SPAC4D7.10C	YOL148C
SPAC4D7.07C	NONE
SPAC4D7.06C	YBR213W
SPAC4D7.04C	YBR002C|YMR101C
SPAC4D7.02C	YPL206C
SPAC4C5.03	NONE
SPAC4C5.01	YKL033W-A
SPAC4A8.10	YDL109C|YDR444W|YGL144C|YOR059C
SPAC4A8.07C	YLR260W|YOR171C
SPAC4A8.06C	NONE
SPAC4A8.02C	NONE
SPAC458.06	YGR223C
SPAC458.04C	NONE
SPAC458.03	YGR099W
SPAC458.02C	YOR198C
SPAC3H8.09C	YPL190C
SPAC3H8.08C	NONE
SPAC3H8.07C	YGR078C
SPAC3H8.05C	NONE
SPAC3H8.04	NONE
SPAC3H8.03	YCR071C
SPAC3H8.02	YLR380W
SPAC3H5.11	YEL041W|YJR049C
SPAC3H5.09C	YLR454W|YPR117W
SPAC3H5.08C	YKL121W|YMR102C
SPAC3H1.14	YBR105C|YGR066C
SPAC3H1.10	NONE
SPAC3H1.09C	YKL146W
SPAC3H1.08C	NONE
SPAC3H1.07	YPL111W
SPAC3H1.06C	YBR293W|YCL069W|YGR224W|YPR198W|YPR198W
SPAC3H1.05	YJR117W
SPAC3H1.03	NONE
SPAC3H1.02C	YOL098C
SPAC3G9.15C	YLR051C
SPAC3G9.12	YBL034C
SPAC3G9.11C	YDL080C|YGR087C|YLR044C|YLR134W
SPAC3G9.05	YLL021W|YLR313C
SPAC3G9.01	NONE
SPAC3G6.11	YPL008W
SPAC3G6.10C	NONE
SPAC3G6.07	NONE
SPAC3G6.05	YLR251W
SPAC3G6.03C	YOR111W
SPAC3F10.17	YKL143W
SPAC3F10.16C	YGL099W
SPAC3F10.12C	YJR060W
SPAC3F10.11C	YDR135C|YGR281W|YHL035C|YLL015W|YLL048C
SPAC3F10.09	YIL020C
SPAC3F10.08C	YIL019W
SPAC3F10.07C	NONE
SPAC3F10.06C	YMR283C
SPAC3F10.05C	YPL034W
SPAC3F10.03	YBR121C|YPR081C
SPAC3C7.13C	YNL241C
SPAC3C7.10	YLR191W
SPAC3C7.07C	YGL017W
SPAC3C7.05C	YKL046C|YMR238W
SPAC3C7.04	NONE
SPAC3C7.02C	YGR086C|YPL004C
SPAC3C7.01C	YKL212W
SPAC3A12.19	YBR282W
SPAC3A12.13C	YLR192C
SPAC3A12.09C	NONE
SPAC3A12.08	YER182W
SPAC3A12.06C	YDL206W|YJR106W
SPAC3A12.04C	YHR062C
SPAC3A12.02	YBR011C|YMR267W
SPAC3A11.13	YLR200W
SPAC3A11.11C	NONE
SPAC3A11.10C	NONE
SPAC3A11.09	YLR138W
SPAC3A11.07	YDL085W|YML120C|YMR145C
SPAC3A11.04	NONE
SPAC3A11.03	YJR129C
SPAC343.20	NONE
SPAC343.19	YJL100W
SPAC343.18	NONE
SPAC343.17C	NONE
SPAC343.15	YOR274W
SPAC343.14C	YLR291C
SPAC343.13	YBL080C
SPAC343.08C	YKL003C
SPAC343.06C	YJR100C
SPAC343.02	YCR046C
SPAC343.01C	YMR220W
SPAC32A11.02C	NONE
SPAC32A11.01	YOR188W
SPAC328.09	YOR222W|YPL134C
SPAC328.08C	YPL241C
SPAC328.07C	YBR290W
SPAC328.06	YOR124C
SPAC328.05	YCL011C|YNL004W
SPAC328.04	YER047C|YPL074W
SPAC328.02	YKR017C
SPAC328.01C	YDR335W
SPAC323.08	YLR145W
SPAC323.07C	YDR338C|YHR032W
SPAC323.05C	YDR140W
SPAC323.04	YDR061W
SPAC323.03C	NONE
SPAC323.02C	YGR253C
SPAC323.01C	YPL188W
SPAC31G5.21	NONE
SPAC31G5.19	YGR270W
SPAC31G5.18C	NONE
SPAC31G5.15	YGR170W
SPAC31G5.07	YBR040W
SPAC31G5.06	NONE
SPAC31G5.05C	YJL121C
SPAC31G5.04	YIL094C
SPAC31G5.02	YMR200W
SPAC31A2.14	YOL087C
SPAC31A2.12	YFR022W|YOR018W
SPAC31A2.10	YGL164C
SPAC31A2.06	YMR098C
SPAC31A2.04C	YER012W
SPAC30D11.14C	NONE
SPAC30D11.11	YLR023C
SPAC30D11.06C	YKR051W
SPAC30D11.02C	NONE
SPAC30D11.01C	NONE
SPAC30C2.08	YPL260W
SPAC30C2.07	NONE
SPAC30C2.04	YGL105W
SPAC30C2.03	NONE
SPAC30.04C	YDR135C|YGR281W|YHL035C|YLL015W|YLL048C
SPAC30.02C	YKL110C
SPAC2H10.02C	YIL007C
SPAC2H10.01	NONE
SPAC2G11.15C	YPL157W
SPAC2G11.10C	YHR111W
SPAC2G11.09	YLR241W
SPAC2G11.05C	YOR275C
SPAC2G11.04	NONE
SPAC2F7.17	YGL143C
SPAC2F7.16C	YKR031C
SPAC2F7.15	YDR175C
SPAC2F7.14C	YHR069C
SPAC2F7.13C	YOL097C
SPAC2F7.10	YDR264C|YOR034C
SPAC2F7.09C	NONE
SPAC2F7.08C	YBR289W
SPAC2F7.07C	YMR075W
SPAC2F7.05C	YPR041W
SPAC2F7.02C	YLL010C|YLR019W
SPAC2F3.18C	NONE
SPAC2F3.16	NONE
SPAC2F3.14C	NONE
SPAC2F3.13C	NONE
SPAC2F3.12C	YDR183W
SPAC2F3.11	YHR201C
SPAC2F3.10	YDR027C
SPAC2F3.09	YDR232W
SPAC2F3.07C	NONE
SPAC2F3.05C	YJR096W
SPAC2F3.04C	YCR028C-A
SPAC2F3.02	YLR292C
SPAC2F3.01	YBR161W|YPL057C
SPAC2E1P5.05	YPR137W
SPAC2E1P5.03	YFR041C
SPAC2E1P5.02C	NONE
SPAC2E1P3.05C	NONE
SPAC2E1P3.04	NONE
SPAC2E1P3.03C	NONE
SPAC2E1P3.01	YCR102C|YLR460C|YNL134C
SPAC2E12.03C	YBR147W|YDR090C|YDR352W|YOL092W
SPAC2C4.17C	NONE
SPAC2C4.12C	YOL102C
